asset_path,sha256,unit_audio_id,runtime_roles
audio/classic/units/marine/attack/alias_marine_TMaYes03__7e1e2bf6fa.wav,7e1e2bf6fa8e4088d627db84aae6ba16f9db4dee9349ba72535e94991c11405e,marine,attack
audio/classic/units/marine/chatter/TMaPss05__f310b1faa2.wav,f310b1faa20c38746cc68f6bb42e3357aa844d1ce70a93c96d4d53c24b05688a,marine,chatter
audio/classic/units/marine/death/TMaDth00__2f6776cc1a.wav,2f6776cc1a1cfad52a0a62d90825081fab3a0752e3ec15bc7f15ef3b7ea777e2,marine,death
audio/classic/units/marine/death/TMaDth01__5c9d5b23c3.wav,5c9d5b23c3be60d61405d39e1b208fd3993b7cf9b029a13474025d8da99145d2,marine,death
audio/classic/units/marine/move/TMaRdy00__f310b1faa2.wav,f310b1faa20c38746cc68f6bb42e3357aa844d1ce70a93c96d4d53c24b05688a,marine,move
audio/classic/units/marine/move/TMaYes00__252c5e57fb.wav,252c5e57fb3503ec351a83d0b2dcd3cecab48f6d08a503ce2700bcec15ef523f,marine,move
audio/classic/units/marine/move/TMaYes01__af140ca7c3.wav,af140ca7c353f82301de23cedcb634aa8bc916c444c1b8e0d36d459e7b2dc7c8,marine,move
audio/classic/units/marine/move/TMaYes03__7e1e2bf6fa.wav,7e1e2bf6fa8e4088d627db84aae6ba16f9db4dee9349ba72535e94991c11405e,marine,move
audio/classic/units/medivac/chatter/alias_dropship_TDrPss00__444f4d9bef.wav,444f4d9beffe3dc1c61d6ec88baa49daf2854b91213fa2fda2ea4d0c1316f0e6,medivac,chatter
audio/classic/units/medivac/chatter/alias_dropship_TDrPss01__24df3403ef.wav,24df3403ef99058ec1ba8254beaaae7e44a3f78dbe403a7532afb0f8e7bff2c6,medivac,chatter
audio/classic/units/medivac/chatter/alias_dropship_TDrPss02__74cbfbbc01.wav,74cbfbbc0137c8d7125faaff5d4174d8c29643f2388e02d198fffbf827d51e10,medivac,chatter
audio/classic/units/medivac/chatter/alias_dropship_TDrPss03__b99cd7e939.wav,b99cd7e939c7b25f1ff107a36abda01a72b7d53fac91519da68a3cbaa2c445cf,medivac,chatter
audio/classic/units/medivac/move/alias_dropship_TDrRdy00__27060c2201.wav,27060c2201cf2b65fec0bca7d7c2cfeb13347998b1018a8b8251031be95cb3ab,medivac,move
audio/classic/units/medivac/move/alias_dropship_TDrWht00__76c75803d9.wav,76c75803d92a8e4dbf36c954fea89daa097395e5324f24887b81298e9cf3c6d4,medivac,move
audio/classic/units/medivac/move/alias_dropship_TDrWht01__daa531436d.wav,daa531436d17297e2c028076316484bc5df1e7dedf8653617dba08919e0fb4be,medivac,move
audio/classic/units/medivac/move/alias_dropship_TDrWht02__ce11e7eef0.wav,ce11e7eef05db6af3091437d93d1a38a5809d596a35f7967221bad20afc10ea5,medivac,move
audio/classic/units/medivac/move/alias_dropship_TDrWht03__1005da471e.wav,1005da471ef53d12d2392dd175f9a8f5ff63a2a30bf6dda0ea50a164996f89cf,medivac,move
audio/classic/units/medivac/move/alias_dropship_TDrYes00__676aa9b472.wav,676aa9b47281a023f3ddb5e1ad45658386f9de6e766ec5073ba5044adc55813f,medivac,move
audio/classic/units/medivac/move/alias_dropship_TDrYes01__449e301cc3.wav,449e301cc3599cf7c4f1ac097392cef3465bdf71eb20de39dbf2a5a88c0d3b10,medivac,move
audio/classic/units/medivac/move/alias_dropship_TDrYes02__9d1d5a3620.wav,9d1d5a3620cbc269b12b005eaa1817f16880a8f5190e01fc99e0e49527ab2ba8,medivac,move
audio/classic/units/medivac/move/alias_dropship_TDrYes03__1ef72db927.wav,1ef72db92754548d47b6952d3b09f1e2f470c94de4b18eaa773386fd888020c7,medivac,move
audio/classic/units/medivac/move/alias_dropship_TDrYes04__52f49f6473.wav,52f49f64733b8b20a367da6c88260087077c1cd5a4fa594abfddbd7e2d533b58,medivac,move
audio/classic/units/medivac/move/alias_dropship_TDrYes05__8ce10906bf.wav,8ce10906bfed9ab007039953759c3e64bf97725d519bcdc118a2a32d63c29039,medivac,move
audio/classic/units/phoenix/attack/alias_scout_PScYes00__c2132addb2.wav,c2132addb28ed136a552e57fc412d53fe8b223000512b9b0110108b4a9d2e112,phoenix,attack
audio/classic/units/phoenix/attack/alias_scout_PScYes01__359cc72258.wav,359cc72258183ac0a6f957b90e73c5624e5f25c71fd8f83c48c67c4c9e1a20ac,phoenix,attack
audio/classic/units/phoenix/attack/alias_scout_PScYes02__2a51b4b3bd.wav,2a51b4b3bd8365d8904a1f65f4ae8960a1c8a0fb23bf84781a44f2fc2b6ce5a7,phoenix,attack
audio/classic/units/phoenix/attack/alias_scout_PScYes03__1405d54f12.wav,1405d54f125dd04a6e61113039178d8630f716536a6528dd6d6133e310834801,phoenix,attack
audio/classic/units/phoenix/chatter/alias_scout_PScPss00__caaa441843.wav,caaa441843fc0c420e20c40abb5cc7334adef4ed2be671251fb5fac93f1c67f7,phoenix,chatter
audio/classic/units/phoenix/chatter/alias_scout_PScPss01__4978e9bf96.wav,4978e9bf96eed4bed38f9178d97cf11fbd2220b13cdb7a295a0e05e80dbecd23,phoenix,chatter
audio/classic/units/phoenix/chatter/alias_scout_PScPss02__5127de8e3e.wav,5127de8e3e8c21f53353b3ed74a1b0dca03f50c34e252ef98bd071b83e10730a,phoenix,chatter
audio/classic/units/phoenix/chatter/alias_scout_PScPss03__09616a6eae.wav,09616a6eaeceef7cef639cbafffb1a8ffe511098b8fb1f632d988d032b3386ad,phoenix,chatter
audio/classic/units/phoenix/chatter/alias_scout_pscPss04__5284298b77.wav,5284298b77e0df22a683307d2a82183fa16a88e310b187446af642f27f13fe02,phoenix,chatter
