asset_path,roles,source,sha256
audio/units/disruptor/canonical/af50b4d1bc1850bb__RobotPusher_Pusher_030.ogg,chatter,SC2 game-data canonical recovery,af50b4d1bc1850bb2a560931e65be53d4f38fa110e5b0b26d07c78d237485d9c
audio/units/disruptor/canonical/853f64db3601a271__RobotPusher_Pusher_031.ogg,chatter,SC2 game-data canonical recovery,853f64db3601a2710be704679f575fd16a6585a5a090dc00be04090f921d0853
audio/units/disruptor/canonical/d2235edb3ccb845a__RobotPusher_Pusher_032.ogg,chatter,SC2 game-data canonical recovery,d2235edb3ccb845a8c4c32911fdc56ff27dbfe0a9ab8aa6e987834675a474daf
audio/units/disruptor/canonical/a8a79056be19cdd6__RobotPusher_Pusher_033.ogg,chatter,SC2 game-data canonical recovery,a8a79056be19cdd6ac5fcd64a95064faa28eb9317fb2baf26d143494f8df212c
audio/units/disruptor/canonical/0c37a325bdc87446__RobotPusher_Pusher_034.ogg,chatter,SC2 game-data canonical recovery,0c37a325bdc8744658b09f45b1f5ead495698a4287567cd09c74bcbedb2e3f93
audio/units/disruptor/canonical/74b6643af570bb56__RobotPusher_Pusher_042.ogg,chatter,SC2 game-data canonical recovery,74b6643af570bb561b41aed321d85d733dcdc70fb75282d2ec9590a4525d351b
audio/units/disruptor/canonical/bbc7f0d3da86a1d7__RobotPusher_Pusher_043.ogg,chatter,SC2 game-data canonical recovery,bbc7f0d3da86a1d72b350b3e7b4684d16621675c2ad4c90ee876aaac45cca39d
audio/units/disruptor/canonical/ffabf83f278de34f__RobotPusher_Pusher_044.ogg,chatter,SC2 game-data canonical recovery,ffabf83f278de34f5c884151bfcfde0e2baed0d2a0f4554cec0782760aa87b7d
audio/units/disruptor/canonical/085ac8ebffd358e5__RobotPusher_Pusher_006.ogg,move,SC2 game-data canonical recovery,085ac8ebffd358e564497998273629a846475fbbb8475607f8755eba3eb8805f
audio/units/disruptor/canonical/510cd04e8d1d802a__RobotPusher_Pusher_007.ogg,move,SC2 game-data canonical recovery,510cd04e8d1d802abbf8e16650c98249fd53e20d6e12fdfb44884124e1f41c0c
audio/units/disruptor/canonical/6eff2ee5928bd645__RobotPusher_Pusher_008.ogg,move,SC2 game-data canonical recovery,6eff2ee5928bd64506954a5d63adca9178e9d104f8dd8342a098bbcff2f127e3
audio/units/disruptor/canonical/d5f8a8af396685c4__RobotPusher_Pusher_009.ogg,move,SC2 game-data canonical recovery,d5f8a8af396685c41face5b95dc37b6c0c50b225ca63d7ffebce417043744232
audio/units/disruptor/canonical/62efcef91eb93832__RobotPusher_Pusher_010.ogg,move,SC2 game-data canonical recovery,62efcef91eb938324285435e505be9c79455aa21d00e756c34da4cfff3861b24
audio/units/disruptor/canonical/ce45c1e6cf671787__RobotPusher_Pusher_011.ogg,move,SC2 game-data canonical recovery,ce45c1e6cf671787ef2ce69d1b49ee9d6fcefaeebdb89309cf9110fbb5915586
audio/units/disruptor/canonical/4e1eae34ff3ce5be__RobotPusher_Pusher_012.ogg,move,SC2 game-data canonical recovery,4e1eae34ff3ce5be3fbd43a42488610fa4378638728e4127baef41d6ecec8896
audio/units/disruptor/canonical/0fd4033483036927__RobotPusher_Pusher_013.ogg,move,SC2 game-data canonical recovery,0fd4033483036927d751242f9c358cb6b8d1c10eb119e6e7fb17a4956511f3c7
audio/units/disruptor/canonical/a249d769a1ccdd8b__RobotPusher_Pusher_014.ogg,move,SC2 game-data canonical recovery,a249d769a1ccdd8be4f1fb67fbe3c3a0a2a17bb1c4393bb827c8d53177daf518
audio/units/disruptor/canonical/651bbde5ce0abc6e__RobotPusher_Pusher_015.ogg,move,SC2 game-data canonical recovery,651bbde5ce0abc6e6dd94e0cc40361616eff1f94e1cce384e500380df385591b
audio/units/disruptor/canonical/9e897e41faf5aec3__RobotPusher_Pusher_016.ogg,move,SC2 game-data canonical recovery,9e897e41faf5aec348c86e67a77f2e037d521e5b655f793081438747f2706c55
audio/units/disruptor/canonical/97ef4b1046fa7b57__RobotPusher_Pusher_017.ogg,move,SC2 game-data canonical recovery,97ef4b1046fa7b57320a22a7ac1659e9f645131bc86a4bb2c58e3b2aad8c8172
audio/units/disruptor/canonical/9b6c8fcba7eed4e6__RobotPusher_Pusher_018.ogg,move,SC2 game-data canonical recovery,9b6c8fcba7eed4e63be9b7062543211983868a3932fb839f34bc37c2fa01d1d8
audio/units/disruptor/canonical/cc43e7b43ddbd95b__RobotPusher_Pusher_024.ogg,move,SC2 game-data canonical recovery,cc43e7b43ddbd95b6c3050dddcbea7e2bff51246b615b8e360ed9dce212015e7
audio/units/disruptor/canonical/1dcfaf5bf79bb305__RobotPusher_Pusher_040.ogg,move,SC2 game-data canonical recovery,1dcfaf5bf79bb305304155887aa37ff086c2e764207f8f8de1680b6d48c0a423
audio/units/drone/canonical/228adff3370e1d3e__Drone_Attack0.ogg,attack|chatter,SC2 game-data canonical recovery,228adff3370e1d3e446caeeafd1e6770cbd1fa2d9a1d92b8c101f6a6c1fda8b8
audio/units/drone/canonical/5f47b4b7e26cb93a__Drone_Attack1.ogg,attack|chatter,SC2 game-data canonical recovery,5f47b4b7e26cb93a27173626096005f9c67c3d56f1bdf67e841b0654ca4d8413
audio/units/drone/canonical/1cb166f0bc114cdb__Drone_Attack2.ogg,attack|chatter,SC2 game-data canonical recovery,1cb166f0bc114cdbdb57e1af0c93890dd9191c18ca08e4f46881a72f71fbf652
audio/units/drone/canonical/48b19876c43515de__Drone_Death0.wav,death,SC2 game-data canonical recovery,48b19876c43515deea190c32567bce52b6db75029462535129d9e00ec43cdd44
audio/units/drone/canonical/d1d276ae18fe3567__Drone_Death1.wav,death,SC2 game-data canonical recovery,d1d276ae18fe35672d831d19203c455719c8253e2abed3304cd6b2979f91d4d3
audio/units/drone/canonical/bc4d02bb82467242__Drone_Death2.wav,death,SC2 game-data canonical recovery,bc4d02bb824672429014ff387973dff2077f14a9e7ec959f2dc7ee4c38911a5c
audio/units/drone/canonical/74c796a981c00c29__Drone_Death3.wav,death,SC2 game-data canonical recovery,74c796a981c00c292383e7039bedb38c8f6e89bc790d53fae82710d8e59b9c14
audio/units/drone/canonical/2aac36e0f85dda8f__Drone_Ready0.ogg,move,SC2 game-data canonical recovery,2aac36e0f85dda8fa78a673434ddd4470886460eb50bf82301c51bfa6fb26575
audio/units/drone/canonical/b111e775851551dc__Drone_Ready1.ogg,move,SC2 game-data canonical recovery,b111e775851551dcd8937e54c6bf9aeb66623c5df1765ed87253fa6112dea662
audio/units/drone/canonical/72de37ec32d13ea8__Drone_What0.ogg,move,SC2 game-data canonical recovery,72de37ec32d13ea89ccebce82416a183f7959b8cfbfd143ef3fde911ba00ca28
audio/units/drone/canonical/940a65bfd80c4c37__Drone_What1.ogg,move,SC2 game-data canonical recovery,940a65bfd80c4c37df7eeb7ed3ab7a19879c1f2181c46fa7c441e6e103ea0bb9
audio/units/drone/canonical/00d174145c2d4d9e__Drone_What2.ogg,move,SC2 game-data canonical recovery,00d174145c2d4d9ecb1b3483c781faea5f3073760cc86aa98500ece80d226c2a
